unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
ἀνήρ,anēr,ἀνήρ,noun masc nom sg,man (adult male),ὁ ἀνὴρ σοφός ἐστιν,Irregular noun; gen ἀνδρός,850,Homer.Il Plato.Rep
ἀνδρός,andros,ἀνήρ,noun masc gen sg,of a man,τοῦ ἀνδρὸς ἡ δόξα,Genitive of ἀνήρ,850,Homer.Il Plato.Rep
ἄνδρες,andres,ἀνήρ,noun masc nom pl,men,οἱ ἄνδρες μάχονται,Nominative plural of ἀνήρ,850,Homer.Il Plato.Rep
εἰμί,eimi,εἰμί,verb 1st sg pres ind,I am,εἰμὶ ἀγαθός,Irregular copula verb,1000,Homer.Il Plato.Rep Herodotus
ἐστί,esti,εἰμί,verb 3rd sg pres ind,he/she/it is,ὁ θεὸς ἐστί,3rd person singular of εἰμί,1000,Homer.Il Plato.Rep
ἐστίν,estin,εἰμί,verb 3rd sg pres ind,he/she/it is,ἐστὶν ἀγαθόν,With nu-movable,1000,Homer.Il Plato.Rep
εἰσί,eisi,εἰμί,verb 3rd pl pres ind,they are,οἱ ἄνδρες εἰσὶ σοφοί,3rd person plural of εἰμί,1000,Homer.Il Plato.Rep
λόγος,logos,λόγος,noun masc nom sg,word/speech/reason,ὁ λόγος διδάσκει,Core philosophical term,920,Herodotus Plato.Rep
λόγου,logou,λόγος,noun masc gen sg,of a word,τοῦ λόγου ἡ δύναμις,Genitive of λόγος,920,Herodotus Plato.Rep
λόγῳ,logōi,λόγος,noun masc dat sg,to/for a word,τῷ λόγῳ πείθομαι,Dative of λόγος,920,Herodotus Plato.Rep
λόγον,logon,λόγος,noun masc acc sg,a word,λόγον λέγω,Accusative of λόγος,920,Herodotus Plato.Rep
λόγοι,logoi,λόγος,noun masc nom pl,words,οἱ λόγοι σαφεῖς εἰσι,Nominative plural of λόγος,920,Herodotus Plato.Rep
θεός,theos,θεός,noun masc nom sg,god/deity,θεὸς μέγας ἐστίν,Can be used metaphorically,890,Homer.Il Plato.Rep
θεοῦ,theou,θεός,noun masc gen sg,of a god,τοῦ θεοῦ ἡ βουλή,Genitive of θεός,890,Homer.Il Plato.Rep
θεῷ,theōi,θεός,noun masc dat sg,to/for a god,τῷ θεῷ εὔχομαι,Dative of θεός,890,Homer.Il Plato.Rep
θεόν,theon,θεός,noun masc acc sg,a god,θεὸν σέβομαι,Accusative of θεός,890,Homer.Il Plato.Rep
θεοί,theoi,θεός,noun masc nom pl,gods,οἱ θεοὶ ἀθάνατοι,Nominative plural of θεός,890,Homer.Il Plato.Rep
ἀγαθός,agathos,ἀγαθός,adj masc nom sg,good/noble,ἀνὴρ ἀγαθός,Standard 2-1-2 adjective,800,Homer.Il Plato.Rep
ἀγαθή,agathē,ἀγαθός,adj fem nom sg,good/noble,γυνὴ ἀγαθή,Feminine of ἀγαθός,800,Homer.Il Plato.Rep
ἀγαθόν,agathon,ἀγαθός,adj neut nom sg,good/noble,ἔργον ἀγαθόν,Neuter of ἀγαθός,800,Homer.Il Plato.Rep
